Location_Name	County	Operator	Type	Address	City	State_province	Zip	Country_ISO3166_alpha2	Phone	URL	Languages	Devices_available	Accessibility	Clients	Public	lon	lat
Manson Community Library	Chelan	North Central Regional Library	Library	Wapato Way & Manson Blvd	Manson	Washington	98831	US	[+1] 509-687-3420	http://www.ncrl.org/manson.htm	English, Russian, Spanish	Computer, Wi-Fi	Wheelchair accessible	Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen	All Public	-120.15965	47.88523
Davenport City Library	Lincoln	Davenport City Library	Library	505 7th St	Davenport	Washington	99122	US	[+1] 509-725-4355	http://www.davenportwa.us/index.asp?Type=B_BASIC&SEC={EA1BEF96-CBC1-4BD4-AE0A-C1...	English	Computer, Wi-Fi	Wheelchair accessible	Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen	All Public	-118.1509557	47.6539963
Quincy Community Library	Grant	North Central Regional Library	Library	208 Central Avenue S	Quincy	Washington	98849	US	[+1] 509-787-2359	http://www.ncrl.org/quincy.htm	English, Russian, Spanish	Computer	Wheelchair accessible	Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen	All Public	-119.8532111	47.23621196
Fairhaven Library	Whatcom	Bellingham Public Library	Library	1117 12th St	Bellingham	Washington	98225-6617	US	[+1] 360-778-7324	http://www.bellinghampubliclibrary.org	English	Computer, Wi-Fi	Wheelchair accessible	Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen	All Public	-122.5021819	48.72148393
Everson Public Library	Whatcom	Whatcom County Library System	Library	104 Kirsch Dr	Everson	Washington	98247	US	[+1] 360-966-5100	http://www.wcls.org	English	Computer, Wi-Fi	None	Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen	All Public	-122.3413831	48.91955961
Medical Lake Library	Spokane	Spokane County Library District	Library	321 E. Herb Street	Medical Lake	Washington	99022	US	[+1] 509-893-8330	http://www.scld.org	English	Computer, Wi-Fi	Wheelchair accessible	Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen	All Public	-117.6795267	47.57109303
Point Roberts Public Library	Whatcom	Whatcom County Library System	Library	1487 Gulf Road	Point Roberts	Washington	98281	US	[+1] 360-945-6545	http://www.wcls.org	English	Computer, Wi-Fi	None	Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen	All Public	-123.076803	48.984617
Cashmere Community Library	Chelan	North Central Regional Library	Library	300 Woodring St	Cashmere	Washington	98815-1061	US	[+1] 509-782-3314	http://www.ncrl.org/cashmere.htm	English, Russian, Spanish	Computer, Wi-Fi	Wheelchair accessible	Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen	All Public	-120.4677716	47.52286753
Zillah Library	Yakima	Yakima Valley Libraries	Library	109 7th St	Zilla	Washington	98953-0448	US	[+1] 509-829-6707	http://www.yvl.org	English, Spanish	Computer, Wi-Fi	Wheelchair accessible	Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen	All Public	-120.2597221	46.40123664
Vashon Library	King	King County Library System	Library	17210 Vashon Hwy SW	Vashon	Washington	98070-4600	US	[+1] 206-463-2069	http://www.kcls.org/vashon/	English, Language Line Services	Computer, Wi-Fi	None	Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen	All Public	-122.4604264	47.45079586
Kalama Public Library	Cowlitz	Kalama Public Library	Library	312 N 1st St 312 N 1st St	Kalama	Washington	98625	US	[+1] 360-673-4568	http://www.kalamalibrary.org/	English	Computer	Wheelchair accessible	Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen	All Public	-122.8452787	46.00982073
